"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"China","CHN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1100","","","","1943","2911","3146","4619","5411","6285","6186","6956","7566","7821","9061.4","10526.1","12171.6","13781.3","15714.7","47289.8","59412.4","61106.8","71113.3","106844","156585.6","181690.5","207175.3","240030.2","278947.4","305827","351462.8","372038.4","401434.5","","","",
"Cote d'Ivoire","CIV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","46","42","32","26","34","36","37","32","47","39.9","31.1","40","53.9","47.9","70.1","74.8","70.8","92.3","107.8","102.4","103.3","154.3","222.3","190.2","207.3","218.8","220","169.2","","","",
"Cameroon","CMR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","15","22","35","41","46","54","58","75","84","66","60.5","83.3","74.2","70.6","118.1","137.5","168.4","197.1","207.6","281.7","331.7","366.7","342.8","371.6","401.4","450.8","457.1","526.8","","","",
"Congo, Dem. Rep.","COD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","31","30","38","31","29","21","26","21","19","19.3","13.8","15.8","6.9","6","1.8","2","1.6","2.1","3.5","5.4","8.1","7.2","8.4","16.2","18.3","13.7","21.4","16.4","","","",
"Congo, Rep.","COG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","15","18","14","17","15","14","18","8","10","5.8","9.9","7.6","11.9","12.5","23.2","20.7","31.3","46.9","47","65.1","63.5","73.6","74.9","71","91.8","95.2","114.2","136.8","","","",
"Colombia","COL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","90","88","86","111","122","106","125","122","145","162.3","194.7","234.9","247.7","240.3","510.2","505.7","649","654.5","804.9","966.4","1346.2","1565.3","2374.4","2664.5","3113.2","3405.8","4068.5","4455.9","","","",
"Comoros","COM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","0.3","0","0","0.5","1","1","0.2","0.2","0.3","1.2","0.9","0.2","2.1","0.7","0.8","2.2","3.9","1.6","13.9","","","",
"Cabo Verde","CPV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","2","0","0","0","0.3","0.7","0.3","0.2","0.6","0.3","0.2","0.2","2.4","0.3","0.4","4.1","1.2","2.1","4.9","3.1","2.4","4","8","","","",
"Costa Rica","CRI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","44","48","55","55","54","55","62","61","66","65.8","74.7","76.5","72.7","69.2","118.3","166.5","161.6","151.5","211.6","207.7","215.1","215.4","246.1","256.8","264.3","267.1","295.9","276.6","","","",
"Caribbean small states","CSS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","146.853896529454","167.991957393542","156.939854933441","159.134817939503","137.991030940548","139.112909240878","139.112909240878","142.298701055554","157.165729524045","156.847150342577","129.638971201518","136.835342088811","131.055047300113","119.809746529373","235.537389258768","307.280363543393","304.360595999894","334.454451226074","364.24636141654","393.945829801802","370.606853163902","454.648558961297","474.280195143195","522.524028966425","458","532","547","489.9","","","",
